student_id,app_usage_percentage,divice_type,internet_quality,video_completion_rate
STU100000,49,Laptop,Medium,55.0
STU100001,86,Laptop,Low,84.1
STU100002,85,Mobile,Medium,75.6
STU100003,42,Mobile,High,63.3
STU100004,91,Laptop,Medium,86.4
STU100005,74,Mobile,Medium,85.9
STU100006,83,Laptop,High,94.5
STU100007,68,Mobile,Low,79.2
STU100008,78,Tablet,High,82.3
STU100009,48,Laptop,Medium,63.4
STU100010,88,Mobile,Medium,82.9
STU100011,60,Mobile,Medium,64.3
STU100012,100,Mobile,High,53.5
STU100013,88,Mobile,High,88.2
STU100014,60,Mobile,High,73.8
STU100015,32,Mobile,Low,92.4
STU100016,40,Mobile,High,83.5
STU100017,59,Mobile,Low,55.6
STU100018,77,Laptop,Low,89.5
STU100019,61,Mobile,Medium,48.4
STU100020,70,Laptop,High,66.1
STU100021,66,Mobile,High,86.3
STU100022,46,Laptop,High,47.2
STU100023,59,Mobile,Medium,49.1
STU100024,74,Mobile,Low,49.7
STU100025,38,Mobile,High,87.1
STU100026,93,Laptop,High,22.2
STU100027,100,Mobile,High,57.3
STU100028,89,Laptop,Medium,53.3
STU100029,67,Mobile,Low,23.6
STU100030,87,Mobile,High,95.4
STU100031,61,Laptop,Medium,60.2
STU100032,47,Laptop,High,55.2
STU100033,25,Mobile,Medium,70.4
STU100034,51,Mobile,Low,51.8
STU100035,87,Mobile,Medium,64.4
STU100036,77,Laptop,Medium,57.2
STU100037,51,Mobile,High,69.8
STU100038,67,Laptop,Medium,63.1
STU100039,29,Laptop,High,64.2
STU100040,57,Laptop,Low,24.2
STU100041,60,Mobile,Low,65.6
STU100042,62,Tablet,Medium,72.2
STU100043,100,Mobile,Medium,37.0
STU100044,79,Mobile,Medium,61.6
STU100045,67,Mobile,Medium,48.1
STU100046,76,Mobile,High,29.3
STU100047,100,Mobile,Medium,54.7
STU100048,100,Mobile,High,40.7
STU100049,79,Tablet,High,80.4
STU100050,90,Laptop,High,85.6
STU100051,65,Laptop,Medium,47.8
STU100052,67,Laptop,High,61.9
STU100053,42,Mobile,High,85.5
STU100054,74,Mobile,Low,57.2
STU100055,82,Mobile,Medium,71.9
STU100056,54,Mobile,Medium,88.3
STU100057,73,Mobile,Medium,77.7
STU100058,62,Laptop,High,62.0
STU100059,50,Laptop,Medium,76.0
STU100060,98,Laptop,Medium,56.0
STU100061,90,Tablet,Medium,38.3
STU100062,80,Laptop,Medium,57.1
STU100063,25,Laptop,Low,71.2
STU100064,69,Mobile,High,56.7
STU100065,60,Mobile,Medium,94.2
STU100066,100,Laptop,High,84.8
STU100067,83,Mobile,Medium,55.0
STU100068,91,Mobile,Medium,75.4
STU100069,100,Laptop,Medium,86.3
STU100070,35,Mobile,Medium,53.3
STU100071,56,Laptop,Low,5.6
STU100072,57,Laptop,Medium,51.2
STU100073,63,Mobile,Low,28.6
STU100074,42,Laptop,Medium,33.2
STU100075,90,Mobile,Medium,49.0
STU100076,49,Mobile,High,81.3
STU100077,87,Laptop,Medium,83.1
STU100078,81,Laptop,Medium,49.9
STU100079,75,Mobile,Medium,96.4
STU100080,63,Laptop,High,98.1
STU100081,100,Laptop,Low,44.0
