payment_mode,student_id,payment_amount,discount_used,completion_status
Scholarship,STU100000,1740,No,Completed
Credit Card,STU100001,6147,No,Not Completed
NetBanking,STU100002,4280,No,Completed
UPI,STU100003,3812,No,Completed
Debit Card,STU100004,5486,Yes,Completed
UPI,STU100005,4526,No,Completed
UPI,STU100006,5682,No,Completed
NetBanking,STU100007,4590,No,Completed
Credit Card,STU100008,5055,Yes,Completed
UPI,STU100009,2951,Yes,Completed
UPI,STU100010,4631,No,Completed
Scholarship,STU100011,2693,No,Not Completed
Credit Card,STU100012,3408,No,Completed
Credit Card,STU100013,3153,No,Completed
NetBanking,STU100014,4525,No,Not Completed
Free,STU100015,0,No,Completed
Debit Card,STU100016,4834,No,Completed
UPI,STU100017,5565,No,Completed
UPI,STU100018,3611,Yes,Not Completed
Free,STU100019,0,Yes,Completed
NetBanking,STU100020,3341,No,Completed
Debit Card,STU100021,4422,No,Completed
UPI,STU100022,3970,No,Not Completed
UPI,STU100023,2893,Yes,Completed
NetBanking,STU100024,6696,No,Not Completed
UPI,STU100025,3937,Yes,Completed
NetBanking,STU100026,5849,No,Not Completed
Debit Card,STU100027,4207,No,Completed
UPI,STU100028,3271,No,Not Completed
Debit Card,STU100029,5325,No,Not Completed
Debit Card,STU100030,5787,Yes,Completed
Credit Card,STU100031,4345,No,Completed
Free,STU100032,0,Yes,Not Completed
UPI,STU100033,4450,No,Not Completed
Free,STU100034,0,No,Not Completed
UPI,STU100035,4775,No,Completed
Free,STU100036,0,No,Completed
Free,STU100037,0,No,Not Completed
UPI,STU100038,3746,No,Completed
UPI,STU100039,4054,No,Completed
UPI,STU100040,7074,No,Not Completed
Free,STU100041,0,No,Completed
UPI,STU100042,3540,No,Completed
Free,STU100043,0,No,Not Completed
Debit Card,STU100044,5207,No,Completed
Free,STU100045,0,Yes,Not Completed
Free,STU100046,0,No,Not Completed
UPI,STU100047,7116,No,Completed
Scholarship,STU100048,714,No,Not Completed
Credit Card,STU100049,3387,Yes,Not Completed
Debit Card,STU100050,3696,Yes,Completed
Debit Card,STU100051,6067,No,Not Completed
Debit Card,STU100052,3242,No,Not Completed
UPI,STU100053,3229,No,Completed
Free,STU100054,0,Yes,Not Completed
Free,STU100055,0,No,Not Completed
Free,STU100056,0,No,Completed
Debit Card,STU100057,4410,No,Not Completed
UPI,STU100058,4485,No,Not Completed
Debit Card,STU100059,3355,No,Completed
Free,STU100060,0,No,Not Completed
Credit Card,STU100061,3664,Yes,Not Completed
UPI,STU100062,3240,No,Completed
UPI,STU100063,3974,No,Not Completed
UPI,STU100064,6159,No,Not Completed
Free,STU100065,0,No,Not Completed
UPI,STU100066,4388,No,Completed
UPI,STU100067,4413,Yes,Completed
UPI,STU100068,4913,No,Not Completed
Free,STU100069,0,No,Completed
Debit Card,STU100070,3557,No,Not Completed
NetBanking,STU100071,3500,No,Not Completed
UPI,STU100072,5173,No,Not Completed
UPI,STU100073,5567,No,Not Completed
Debit Card,STU100074,6639,No,Not Completed
Debit Card,STU100075,4277,No,Completed
NetBanking,STU100076,4901,No,Completed
NetBanking,STU100077,4554,No,Completed
Debit Card,STU100078,4302,No,Completed
UPI,STU100079,3152,No,Not Completed
Free,STU100080,0,No,Completed
NetBanking,STU100081,4503,No,Completed
Debit Card,STU100082,2825,Yes,Not Completed
Free,STU100083,0,Yes,Completed
Scholarship,STU100084,1728,No,Not Completed
Free,STU100085,0,No,Completed
UPI,STU100086,4908,No,Not Completed
UPI,STU100087,4580,No,Not Completed
UPI,STU100088,3279,No,Not Completed
UPI,STU100089,2887,Yes,Not Completed
Scholarship,STU100090,1631,No,Completed
Free,STU100091,0,No,Not Completed
Credit Card,STU100092,4846,No,Completed
Credit Card,STU100093,4419,No,Completed
UPI,STU100094,3472,No,Not Completed
Free,STU100095,0,No,Not Completed
Debit Card,STU100096,4562,No,Completed
UPI,STU100097,5420,No,Completed
Debit Card,STU100098,3092,No,Not Completed
Free,STU100099,0,No,Not Completed
Debit Card,STU100100,4851,No,Not Completed
Credit Card,STU100101,4525,Yes,Not Completed
Scholarship,STU100102,2945,No,Not Completed
Free,STU100103,0,No,Completed
UPI,STU100104,4366,No,Completed
Debit Card,STU100105,6664,No,Not Completed
Credit Card,STU100106,5875,No,Not Completed
NetBanking,STU100107,3685,No,Completed
Free,STU100108,0,No,Not Completed
UPI,STU100109,6048,No,Not Completed
UPI,STU100110,4800,Yes,Not Completed
UPI,STU100111,3599,No,Not Completed
Debit Card,STU100112,4731,No,Completed
Credit Card,STU100113,6327,No,Not Completed
Scholarship,STU100114,257,No,Not Completed
Credit Card,STU100115,5261,No,Not Completed
Debit Card,STU100116,3695,Yes,Completed
Free,STU100117,0,No,Not Completed
UPI,STU100118,4577,No,Not Completed
NetBanking,STU100119,4679,No,Not Completed
UPI,STU100120,4328,No,Completed
Debit Card,STU100121,3152,No,Completed
UPI,STU100122,3189,No,Completed
UPI,STU100123,3515,No,Completed
UPI,STU100124,3478,No,Not Completed
Free,STU100125,0,No,Completed
Debit Card,STU100126,4741,No,Completed
Debit Card,STU100127,3162,No,Completed
NetBanking,STU100128,3602,Yes,Not Completed
Debit Card,STU100129,5059,No,Completed
Debit Card,STU100130,4547,No,Not Completed
UPI,STU100131,3959,No,Completed
Free,STU100132,0,No,Not Completed
UPI,STU100133,6741,No,Not Completed
UPI,STU100134,6291,No,Not Completed
Scholarship,STU100135,2066,No,Not Completed
UPI,STU100136,7135,No,Not Completed
Scholarship,STU100137,276,No,Completed
UPI,STU100138,6518,No,Not Completed
UPI,STU100139,3420,No,Completed
UPI,STU100140,5476,No,Completed
UPI,STU100141,5537,No,Not Completed
Credit Card,STU100142,5441,No,Completed
UPI,STU100143,6734,No,Not Completed
UPI,STU100144,6046,No,Not Completed
UPI,STU100145,3728,No,Completed
Credit Card,STU100146,3606,Yes,Not Completed
Free,STU100147,0,No,Not Completed
UPI,STU100148,4816,No,Completed
Free,STU100149,0,No,Not Completed
UPI,STU100150,4273,No,Completed
UPI,STU100151,4374,No,Completed
Scholarship,STU100152,1315,No,Completed
UPI,STU100153,6424,No,Completed
NetBanking,STU100154,6744,No,Completed
UPI,STU100155,4398,No,Completed
NetBanking,STU100156,6166,No,Not Completed
Debit Card,STU100157,5244,No,Not Completed
Credit Card,STU100158,3039,No,Not Completed
Free,STU100159,0,No,Not Completed
UPI,STU100160,3304,No,Not Completed
UPI,STU100161,6602,No,Not Completed
UPI,STU100162,4455,No,Completed
NetBanking,STU100163,5371,No,Completed
Free,STU100164,0,No,Completed
NetBanking,STU100165,5450,No,Completed
Free,STU100166,0,No,Not Completed
Scholarship,STU100167,884,No,Completed
UPI,STU100168,6148,No,Completed
Free,STU100169,0,No,Not Completed
Scholarship,STU100170,1327,No,Completed
UPI,STU100171,5304,No,Completed
Debit Card,STU100172,3216,No,Not Completed
UPI,STU100173,6895,No,Not Completed
Credit Card,STU100174,4490,No,Completed
Credit Card,STU100175,3311,No,Not Completed
Scholarship,STU100176,636,No,Completed
Free,STU100177,0,No,Not Completed
Debit Card,STU100178,5416,No,Not Completed
Credit Card,STU100179,4534,No,Completed
Credit Card,STU100180,6981,No,Completed
Free,STU100181,0,No,Completed
UPI,STU100182,5542,No,Completed
UPI,STU100183,4533,No,Not Completed
NetBanking,STU100184,3381,No,Not Completed
NetBanking,STU100185,4652,No,Completed
Credit Card,STU100186,3346,No,Not Completed
Credit Card,STU100187,3893,No,Not Completed
NetBanking,STU100188,6073,No,Completed
UPI,STU100189,3607,No,Completed
NetBanking,STU100190,4213,No,Completed
UPI,STU100191,5371,No,Not Completed
UPI,STU100192,5289,No,Not Completed
UPI,STU100193,3834,Yes,Completed
Debit Card,STU100194,4982,No,Completed
Scholarship,STU100195,929,No,Not Completed
Debit Card,STU100196,3693,Yes,Completed
UPI,STU100197,4014,No,Completed
Credit Card,STU100198,3241,Yes,Completed
Credit Card,STU100199,6380,No,Not Completed
Free,STU100200,0,No,Completed
Free,STU100201,0,No,Completed
Free,STU100202,0,No,Not Completed
UPI,STU100203,3000,No,Completed
UPI,STU100204,6826,No,Not Completed
Credit Card,STU100205,6239,No,Completed
UPI,STU100206,3946,No,Completed
Debit Card,STU100207,6292,No,Not Completed
Free,STU100208,0,No,Not Completed
NetBanking,STU100209,3238,No,Completed
Free,STU100210,0,No,Not Completed
UPI,STU100211,3629,Yes,Completed
Credit Card,STU100212,4670,No,Completed
UPI,STU100213,3399,No,Not Completed
UPI,STU100214,3357,No,Completed
Debit Card,STU100215,2910,Yes,Completed
Credit Card,STU100216,6900,No,Not Completed
NetBanking,STU100217,5476,No,Completed
UPI,STU100218,3723,No,Completed
Scholarship,STU100219,1678,No,Not Completed
Scholarship,STU100220,644,No,Not Completed
NetBanking,STU100221,6189,No,Completed
Debit Card,STU100222,3999,No,Completed
UPI,STU100223,4948,No,Completed
UPI,STU100224,3968,Yes,Not Completed
UPI,STU100225,3579,No,Completed
UPI,STU100226,5014,Yes,Not Completed
UPI,STU100227,2808,Yes,Completed
Debit Card,STU100228,4593,Yes,Completed
Scholarship,STU100229,933,No,Completed
Credit Card,STU100230,3712,Yes,Not Completed
UPI,STU100231,3367,No,Not Completed
Free,STU100232,0,No,Completed
Scholarship,STU100233,1667,Yes,Not Completed
Scholarship,STU100234,1042,No,Not Completed
UPI,STU100235,5983,No,Completed
UPI,STU100236,4552,No,Not Completed
Debit Card,STU100237,4183,No,Completed
Debit Card,STU100238,4280,No,Completed
UPI,STU100239,3855,No,Not Completed
Credit Card,STU100240,6997,No,Completed
Credit Card,STU100241,3681,Yes,Not Completed
Credit Card,STU100242,4629,No,Completed
Scholarship,STU100243,1460,No,Completed
Credit Card,STU100244,5221,No,Completed
UPI,STU100245,3734,No,Not Completed
NetBanking,STU100246,3216,No,Completed
NetBanking,STU100247,3763,No,Completed
NetBanking,STU100248,5785,No,Completed
Free,STU100249,0,No,Not Completed
Free,STU100250,0,No,Not Completed
Debit Card,STU100251,5931,No,Completed
Free,STU100252,0,No,Not Completed
Credit Card,STU100253,3477,No,Not Completed
Debit Card,STU100254,6446,No,Not Completed
Free,STU100255,0,Yes,Not Completed
UPI,STU100256,5498,Yes,Not Completed
NetBanking,STU100257,2974,No,Completed
Debit Card,STU100258,5372,Yes,Completed
Credit Card,STU100259,3854,Yes,Completed
Credit Card,STU100260,5024,No,Completed
Debit Card,STU100261,3423,No,Not Completed
Debit Card,STU100262,3865,Yes,Not Completed
UPI,STU100263,6203,No,Not Completed
Credit Card,STU100264,6309,No,Not Completed
UPI,STU100265,3384,No,Not Completed
Credit Card,STU100266,2924,Yes,Completed
Debit Card,STU100267,7066,No,Not Completed
Credit Card,STU100268,3168,No,Completed
Scholarship,STU100269,1653,No,Completed
Credit Card,STU100270,4159,Yes,Completed
Debit Card,STU100271,4691,No,Not Completed
NetBanking,STU100272,3257,No,Completed
NetBanking,STU100273,4963,No,Completed
NetBanking,STU100274,6283,No,Completed
UPI,STU100275,5767,Yes,Completed
Debit Card,STU100276,4610,No,Not Completed
Debit Card,STU100277,7135,No,Completed
Debit Card,STU100278,3665,Yes,Not Completed
UPI,STU100279,3076,No,Completed
Free,STU100280,0,No,Not Completed
Free,STU100281,0,No,Not Completed
Free,STU100282,0,Yes,Completed
Credit Card,STU100283,5459,No,Completed
Scholarship,STU100284,965,No,Not Completed
UPI,STU100285,3542,Yes,Not Completed
Free,STU100286,0,No,Not Completed
Credit Card,STU100287,4109,Yes,Completed
UPI,STU100288,5832,No,Completed
Debit Card,STU100289,4880,No,Not Completed
Credit Card,STU100290,3619,No,Not Completed
Scholarship,STU100291,2187,No,Not Completed
Credit Card,STU100292,4516,Yes,Completed
Credit Card,STU100293,2890,Yes,Completed
NetBanking,STU100294,3614,No,Not Completed
Scholarship,STU100295,2506,No,Not Completed
Credit Card,STU100296,3004,No,Completed
UPI,STU100297,4629,No,Not Completed
Debit Card,STU100298,3745,No,Completed
Scholarship,STU100299,1632,No,Completed
UPI,STU100300,4046,Yes,Not Completed
NetBanking,STU100301,4916,No,Not Completed
Debit Card,STU100302,3524,Yes,Not Completed
Debit Card,STU100303,5243,No,Completed
UPI,STU100304,5473,Yes,Not Completed
Debit Card,STU100305,3903,No,Not Completed
Debit Card,STU100306,4597,Yes,Completed
Free,STU100307,0,No,Completed
Credit Card,STU100308,5179,No,Not Completed
Debit Card,STU100309,6625,No,Not Completed
UPI,STU100310,4131,No,Completed
UPI,STU100311,2685,Yes,Not Completed
Free,STU100312,0,No,Not Completed
UPI,STU100313,5342,No,Not Completed
Debit Card,STU100314,4270,No,Not Completed
Free,STU100315,0,No,Not Completed
UPI,STU100316,5512,Yes,Not Completed
Debit Card,STU100317,4656,No,Completed
Credit Card,STU100318,3734,Yes,Not Completed
UPI,STU100319,3476,No,Not Completed
UPI,STU100320,4494,No,Completed
Free,STU100321,0,No,Completed
UPI,STU100322,4307,No,Completed
Scholarship,STU100323,522,No,Completed
NetBanking,STU100324,5401,No,Not Completed
NetBanking,STU100325,4222,No,Completed
Free,STU100326,0,Yes,Not Completed
Debit Card,STU100327,3842,No,Completed
Scholarship,STU100328,464,No,Completed
UPI,STU100329,4481,No,Completed
Scholarship,STU100330,309,No,Completed
UPI,STU100331,6598,No,Not Completed
UPI,STU100332,6230,No,Completed
UPI,STU100333,4062,No,Completed
Scholarship,STU100334,1654,No,Not Completed
UPI,STU100335,4490,Yes,Not Completed
UPI,STU100336,3770,No,Not Completed
Scholarship,STU100337,1093,No,Completed
Debit Card,STU100338,3849,No,Completed
UPI,STU100339,4981,No,Completed
UPI,STU100340,3832,No,Not Completed
UPI,STU100341,4583,Yes,Not Completed
Credit Card,STU100342,4219,No,Not Completed
Credit Card,STU100343,5919,No,Completed
Debit Card,STU100344,3985,No,Not Completed
Scholarship,STU100345,2190,No,Not Completed
UPI,STU100346,3399,No,Not Completed
UPI,STU100347,3797,No,Not Completed
Free,STU100348,0,No,Completed
Free,STU100349,0,No,Not Completed
Debit Card,STU100350,4120,Yes,Completed
Scholarship,STU100351,815,No,Not Completed
Debit Card,STU100352,6936,No,Not Completed
Debit Card,STU100353,3634,No,Not Completed
Free,STU100354,0,No,Not Completed
UPI,STU100355,3180,No,Not Completed
Free,STU100356,0,No,Not Completed
UPI,STU100357,3341,No,Completed
UPI,STU100358,4607,No,Not Completed
Debit Card,STU100359,3882,No,Completed
Debit Card,STU100360,3891,No,Completed
Free,STU100361,0,No,Completed
UPI,STU100362,5582,No,Completed
Credit Card,STU100363,4743,No,Completed
UPI,STU100364,6659,No,Completed
UPI,STU100365,3405,Yes,Completed
NetBanking,STU100366,4439,No,Completed
Scholarship,STU100367,1967,No,Not Completed
Free,STU100368,0,Yes,Not Completed
Free,STU100369,0,No,Not Completed
Free,STU100370,0,Yes,Not Completed
UPI,STU100371,4670,No,Completed
Credit Card,STU100372,3148,No,Completed
UPI,STU100373,3914,No,Not Completed
Credit Card,STU100374,3952,No,Not Completed
UPI,STU100375,6368,No,Not Completed
Credit Card,STU100376,6645,No,Completed
UPI,STU100377,5302,No,Not Completed
Free,STU100378,0,No,Completed
Free,STU100379,0,No,Completed
