student_id,satisfaction_rating,support_ticket_raised
STU100000,3.5,4
STU100001,4.5,0
STU100002,5.0,0
STU100003,3.8,3
STU100004,4.0,0
STU100005,4.5,2
STU100006,4.8,0
STU100007,5.0,0
STU100008,4.7,2
STU100009,4.4,2
STU100010,3.8,0
STU100011,4.6,1
STU100012,5.0,2
STU100013,5.0,1
STU100014,3.6,1
STU100015,4.2,0
STU100016,3.8,1
STU100017,5.0,0
STU100018,4.0,0
STU100019,5.0,1
STU100020,5.0,1
STU100021,3.4,0
STU100022,2.8,1
STU100023,3.9,0
STU100024,4.0,2
STU100025,4.3,1
STU100026,5.0,0
STU100027,5.0,1
STU100028,5.0,1
STU100029,5.0,0
STU100030,3.9,0
STU100031,4.3,0
STU100032,3.9,0
STU100033,4.9,1
STU100034,4.3,1
STU100035,3.7,1
STU100036,4.1,0
STU100037,4.9,0
STU100038,4.5,0
STU100039,5.0,0
STU100040,4.7,0
STU100041,3.7,1
STU100042,4.3,0
STU100043,5.0,1
STU100044,2.9,0
STU100045,3.1,0
STU100046,3.3,2
STU100047,3.0,3
STU100048,3.8,0
STU100049,4.7,0
STU100050,4.3,0
STU100051,3.0,0
STU100052,4.4,0
STU100053,3.8,0
STU100054,3.3,0
STU100055,5.0,1
STU100056,3.5,1
STU100057,4.7,1
STU100058,5.0,2
STU100059,3.4,0
STU100060,4.7,1
STU100061,3.3,1
STU100062,4.8,0
STU100063,2.4,1
STU100064,3.8,1
STU100065,4.0,1
STU100066,3.9,1
STU100067,4.7,1
STU100068,5.0,0
STU100069,5.0,0
STU100070,4.6,1
STU100071,4.4,1
STU100072,4.8,1
STU100073,4.7,0
STU100074,3.8,0
STU100075,3.1,0
STU100076,3.8,1
STU100077,4.4,0
STU100078,4.3,0
STU100079,3.7,2
STU100080,5.0,0
STU100081,3.0,1
STU100082,3.8,2
STU100083,4.6,1
STU100084,4.0,1
STU100085,4.2,0
STU100086,4.0,1
STU100087,3.8,0
STU100088,3.5,1
STU100089,3.8,0
STU100090,3.1,0
STU100091,4.2,1
STU100092,3.7,3
STU100093,4.3,0
STU100094,4.8,0
STU100095,4.6,0
STU100096,3.9,1
STU100097,3.6,0
